id,created_at,category,title,description,challenge_id_text
56,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0056
57,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0057
58,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0058
59,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0059
60,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0060
61,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0061
62,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0062
63,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0063
64,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0064
65,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0065
66,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0066
67,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0067
68,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0068
69,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0069
70,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0070
71,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0071
72,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0072
73,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0073
74,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0074
75,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0075
76,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0076
77,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0077
78,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0078
79,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0079
80,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0080
81,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0081
82,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0082
83,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0083
84,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0084
85,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0085
86,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0086
87,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0087
88,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0088
89,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0089
90,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0090
91,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0091
92,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0092
93,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0093
94,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0094
95,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0095
96,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0096
97,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0097
98,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0098
99,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0099
100,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0100
101,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0101
102,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0102
103,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0103
104,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0104
105,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0105
106,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0106
107,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0107
108,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0108
109,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0109
110,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0110
111,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0111
112,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0112
113,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0113
114,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0114
115,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0115
116,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0116
117,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0117
118,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0118
119,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0119
120,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0120
121,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0121
122,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0122
123,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0123
124,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0124
125,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0125
126,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0126
127,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0127
128,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0128
129,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0129
130,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0130
131,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0131
132,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0132
133,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0133
134,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0134
135,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0135
136,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0136
137,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0137
138,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0138
139,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0139
140,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0140
141,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0141
142,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0142
143,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0143
144,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0144
145,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0145
146,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0146
147,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0147
148,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0148
149,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0149
150,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0150
151,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0151
152,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0152
153,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0153
154,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0154
155,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0155
156,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0156
157,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0157
158,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0158
159,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0159
160,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0160
161,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0161
162,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0162
163,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0163
164,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0164
165,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0165
166,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0166
167,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0167
168,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0168
169,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0169
170,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0170
171,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0171
172,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0172
173,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0173
174,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0174
175,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0175
176,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0176
177,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0177
178,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0178
179,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0179
180,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0180
181,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0181
182,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0182
183,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0183
184,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0184
185,2025-07-22T08:59:27.438182,Mindfulness,Celebrate a Small Win,"At the end of the day, write down one thing you did well — no matter how small.",MIN-0185
186,2025-07-22T08:59:27.438182,Mindfulness,Reframe a Setback,"Think of one recent failure and write what it taught you. Let it become a tool, not a weight.",MIN-0186
187,2025-07-22T08:59:27.438182,Mindfulness,Walk & Reflect,Go on a 10-minute walk without your phone. Use the time to think about how you’re growing.,MIN-0187
188,2025-07-22T08:59:27.438182,Mindfulness,Reach Out,Send a voice note or message to someone you’ve been meaning to reconnect with.,MIN-0188
189,2025-07-22T08:59:27.438182,Mindfulness,Breathe Before You Eat,"Before your next meal or snack, pause for 10 seconds and take a breath. Then decide mindfully.",MIN-0189
190,2025-07-22T08:59:27.438182,Mindfulness,Create a Quiet Space,Choose 10 minutes today to be completely screen-free and in silence.,MIN-0190
191,2025-07-22T08:59:27.438182,Mindfulness,Pause Before Reacting,"Before responding to frustration, take 3 deep breaths and ask yourself: 'What would a calmer version of me do?'",MIN-0191
192,2025-07-22T08:59:27.438182,Mindfulness,Single-Task Focus,"Choose one task today to do with complete focus — no multitasking, no distractions.",MIN-0192
193,2025-07-22T08:59:27.438182,Mindfulness,Win the Morning,Wake up 20 minutes earlier than usual and use that time for something that fuels you (not your phone).,MIN-0193
194,2025-07-22T08:59:27.438182,Mindfulness,Speak Up Once,"Share one idea, opinion, or thought in a group or conversation — even if you feel unsure.",MIN-0194
